lat,lon,t_start,t_end,climb_rate_ms,alt_gain_m,duration_s,circle_id,seg_id,avg_speed_kmh,turn_radius_m,circle_diameter_m,bank_angle_deg,bank_std_deg,bank_range_deg,bank_masd_deg
-32.135350724637675,117.36875869565216,7589.0,7611.0,1.778656126482202,39.13043478260845,22.0,110,,102.1159446946943,99.31935057402848,198.63870114805695,39.55017655517327,8.237036224232584,35.74987348555144,9.080545420901867
-32.13539305555556,117.3669298611111,7611.0,7634.0,1.738695652173888,39.98999999999943,23.0,112,,101.64435508386443,103.3543432296254,206.7086864592508,38.17640041204316,8.208593172029811,40.25726019051262,10.198911495580512
-32.13564038461538,117.36569423076922,7634.0,7659.0,1.9490598290598542,48.72649572649635,25.0,114,,99.65354474674774,110.14134891023805,220.2826978204761,35.343791273742845,8.604347129936865,36.31989809963542,8.583204209586992
-32.08221666666667,117.37976587301584,7942.0,7962.0,2.5168831168831143,50.33766233766229,20.0,116,,111.17582214366476,98.30100914705356,196.60201829410713,44.68263385954469,8.286109925307002,38.09386913405315,8.382475581950096
-32.08203070175438,117.37895701754387,7962.0,7980.0,2.933333333333278,52.799999999999,18.0,118,,114.75960367494953,91.32279096067529,182.64558192135058,48.600368792227954,6.5407583357721455,27.597589644726682,6.093571325014655
-32.082031666666666,117.37768916666668,7980.0,7999.0,2.0924812030074746,39.75714285714202,19.0,120,,106.00933046275486,89.04618616199552,178.09237232399104,44.788840656485675,5.865746367772264,21.679970810241485,7.020847961467158
-32.0826984375,117.37628645833334,7999.0,8030.0,1.293988269794745,40.11363636363709,31.0,122,,107.02555658146879,146.67862149449022,293.35724298898043,31.559678723563493,16.763181457874023,75.7652971505753,14.135941753749053
-32.082303968253974,117.3739246031746,8030.0,8050.0,3.1571428571427993,63.14285714285599,20.0,124,,110.2079553500397,97.44522701116506,194.89045402233012,44.43217178164018,6.737114520559238,23.853716899826917,9.586300610817405
-32.082049999999995,117.37285128205129,8050.0,8075.0,2.88854700854703,72.21367521367576,25.0,126,,99.77196573395699,110.27223283718371,220.54446567436742,35.37590593067147,9.217202802905728,31.0183084021197,11.006917956408232
-32.08169166666667,117.37203269230768,8075.0,8100.0,2.880683760683787,72.01709401709468,25.0,128,,104.37807527288318,115.36310159789784,230.72620319579568,36.605327505820654,15.431056871155459,61.08401967864122,9.425719167527832
-32.08162413793104,117.37084252873562,8100.0,8128.0,1.764532019704437,49.40689655172424,28.0,130,,100.04669495919356,123.8449803325985,247.689960665197,32.444171915866434,10.539064855554093,45.408981959441746,12.602326079329375
-32.082071604938264,117.36876049382717,8128.0,8154.0,1.175213675213657,30.555555555555085,26.0,132,,103.13215019749268,118.54549413508208,237.09098827016416,35.21117627468492,6.836215574713125,25.794094861643934,8.370610174178992
-32.016279545454545,117.36559848484848,8664.0,8687.0,0.2363707355166724,5.436526916883465,23.0,134,,108.62047381022388,110.4478229281279,220.8956458562558,40.037597030066564,6.633544633947294,27.48472799239978,7.57703687683933
-32.024464516129036,117.2220053763441,9149.0,9179.0,1.1822580645161147,35.46774193548344,30.0,136,,109.51684164419157,145.25122249571186,290.5024449914237,33.00305254059791,11.34875187125718,41.77700484919794,10.580556893043306
-32.02407638888889,117.22003819444444,9179.0,9202.0,0.7713043478260595,17.73999999999937,23.0,138,,107.64896819725253,109.45997343575125,218.9199468715025,39.78426773670089,7.183456799878483,38.7544428793008,6.354993657769915
-32.02353563218391,117.21875172413793,9202.0,9230.0,1.0113300492610762,28.317241379310133,28.0,140,,102.73836079969968,127.1769175166841,254.3538350333682,33.13667235536414,8.945621551956869,31.025783743398236,9.637794778431934
-32.023204166666666,117.21822708333333,9230.0,9253.0,0.42565217391301685,9.789999999999388,23.0,142,,103.3959827279427,105.13543893914311,210.27087787828623,38.65299980582148,6.688679953867339,27.779211797809396,9.063208856745687
-32.02285128205128,117.21684294871797,9253.0,9278.0,0.7894017094017314,19.735042735043283,25.0,144,,102.88055886413203,113.7079825783564,227.4159651567128,36.209823839282414,5.123997323974334,19.210231725466116,5.330351870033563
-32.02499814814815,117.2133987654321,9322.0,9348.0,0.9365079365079527,24.34920634920677,26.0,146,,104.7509978400036,120.40628238921408,240.81256477842817,35.63265329684573,5.811551912901934,22.721431675460007,7.40956814125088
-32.025253846153845,117.21189423076923,9348.0,9373.0,1.0488888888889065,26.222222222222662,25.0,148,,102.8684907821307,113.69464441929979,227.38928883859958,36.20662020930667,8.074327298138591,29.47976972839583,8.960249657249415
-32.02542777777778,117.21038472222222,9373.0,9396.0,0.3665217391304466,8.430000000000271,23.0,150,,103.01847140413419,104.75157664888822,209.50315329777644,38.55081403041241,7.428140591220876,23.87157590777337,7.459679938272529
-32.02527173913043,117.20938043478263,9396.0,9418.0,0.1590909090908407,3.4999999999984954,22.0,152,,98.41205426690745,95.71689658914882,191.43379317829763,38.514705361551385,6.500806180454376,20.605085907812807,9.59487930594989
-32.04291111111112,117.1457013888889,9691.0,9714.0,1.6834782608695809,38.72000000000036,23.0,154,,108.01459407348968,109.83175032660827,219.66350065321654,39.87982810036451,11.005970011269088,40.50455460339208,13.03271423062224
-32.04212166666667,117.14345083333335,9714.0,9733.0,1.900751879699222,36.11428571428522,19.0,156,,114.74702902076672,96.38571683375545,192.7714336675109,47.056065697576194,11.139953831048617,36.628515067304114,4.383439958143039
-32.04225,117.14174621212123,9733.0,9754.0,1.2761151891586562,26.79841897233178,21.0,158,,101.35300644353907,94.09651984083143,188.19303968166287,40.6516587217824,5.4320096421853235,24.199915884003005,4.672817372028447
-32.04168405797102,117.1400724637681,9754.0,9776.0,1.7302371541501649,38.06521739130363,22.0,160,,99.17029434834284,96.45437115977063,192.90874231954126,38.729156709169025,5.164741328532819,18.55624834321579,7.512397345935235
-32.04116363636364,117.13834242424242,9776.0,9797.0,1.188594014680951,24.960474308299972,21.0,162,,101.93302178262518,94.63500830582538,189.27001661165076,40.8133247110582,6.722773045516059,28.133995904239658,8.681141879588377
-32.04081811594204,117.13663188405799,9797.0,9819.0,0.8735177865612603,19.21739130434773,22.0,164,,99.3949629893036,96.67288692223345,193.3457738444669,38.7924532112348,7.717309781477768,32.46514763723253,7.489962818868683
-32.04243209876543,117.13388209876545,9854.0,9880.0,0.7039072039072225,18.301587301587784,26.0,166,,98.91039502771957,113.69278766324264,227.38557532648528,34.09115828307118,7.314714374040282,27.980163762800817,8.44189508189422
-32.04849393939394,117.10476287878788,10010.0,10031.0,3.1558441558441253,66.27272727272663,21.0,168,,102.82606903203532,95.46411679674848,190.92823359349697,41.06070935746949,7.474619479935881,36.31570735039786,7.950463003454435
-32.04852222222222,117.10387619047619,10031.0,10051.0,3.118181818181834,62.36363636363669,20.0,170,,102.3439164791941,90.49189001693239,180.98378003386478,42.31526366912455,7.862611940107838,32.289945286221354,8.778467925023323
-32.04862916666666,117.10287083333333,10051.0,10070.0,2.956390977443573,56.17142857142789,19.0,172,,104.509364428356,87.7862380597605,175.572476119521,44.38064212749733,6.845811884761613,25.265556818491063,7.743151354093182
-32.048607499999996,117.10193166666666,10070.0,10089.0,3.269924812030025,62.128571428570474,19.0,174,,105.67022982751313,88.76134691094492,177.52269382188985,44.69705918547056,4.008200855634437,14.263881163955588,3.3558868732485188
-32.048680555555556,117.10106111111112,10089.0,10106.0,3.004127966976242,51.07017543859612,17.0,176,,107.96552235368476,81.14310878430186,162.28621756860372,48.490372620842585,4.591125787334391,14.680106126599725,5.048647366671055
-32.04859912280702,117.10023684210525,10106.0,10124.0,3.0614035087719054,55.1052631578943,18.0,178,,106.52338349022533,84.76861518671478,169.53723037342957,46.475679130489354,5.520884828877279,16.85778465793058,8.028904493285367
-32.04845877192982,117.09947894736842,10124.0,10142.0,2.421052631578868,43.57894736841962,18.0,180,,104.9339920988833,83.50381770451584,167.00763540903168,46.045435780834374,3.924554430063268,14.225034843149686,5.496582062393993
-32.048121969696965,117.09875075757577,10142.0,10163.0,2.555053642010154,53.65612648221323,21.0,182,,103.37554163100236,95.97424926469355,191.9484985293871,41.21200116033845,5.601687182836106,19.662707985861264,7.08713628019608
-32.047500666666664,117.09749466666666,10163.0,10187.0,2.412307692307734,57.895384615385616,24.0,184,,102.2093339630837,108.44747153570074,216.89494307140149,37.15059894852696,11.350251752330005,56.69241409528527,8.064280966040025
-32.04724083333333,117.0965025,10187.0,10206.0,2.067669172932262,39.28571428571298,19.0,186,,105.40307477218326,88.53694082624298,177.07388165248597,44.62454509691811,4.413182701096802,18.3507404141413,5.154539237888317
-32.04747456140351,117.09571140350877,10206.0,10224.0,2.184210526315701,39.31578947368262,18.0,188,,110.58757841086894,88.0027987432618,176.0055974865236,47.54564545467781,5.273804948237855,19.92973039646367,6.124227647317234
-32.12240483870968,116.93771666666667,10777.0,10807.0,1.2725806451613066,38.1774193548392,30.0,190,,98.25360719468837,130.3128938470339,260.6257876940678,30.228815251101402,15.013882479884035,61.6615920286546,12.025202839711978
-32.12267222222222,116.93673055555557,10807.0,10830.0,2.1960869565217296,50.50999999999978,23.0,192,,103.09739168579294,104.83182462598057,209.66364925196115,38.57220044590026,8.407263049897685,27.03257812222592,8.762129817725056
-32.12268397435898,116.93625320512821,10830.0,10855.0,0.8410256410256642,21.025641025641605,25.0,194,,100.18965948719996,110.73388579223389,221.46777158446778,35.48897668769798,9.310194191486781,35.69321799629433,10.499387752857546
-32.12361034482758,116.93415229885055,10855.0,10883.0,2.2113300492610426,61.91724137930919,28.0,196,,102.11344153742998,126.40334759738971,252.80669519477942,32.9768565992397,14.45889135180218,54.887046644207224,9.178306837216548
-32.12395083333333,116.93297083333334,10883.0,10902.0,1.5015037593984437,28.52857142857043,19.0,198,,108.2252358419413,90.90751216085869,181.81502432171737,45.381479515749156,6.818744993191231,24.243749787138263,7.504094186650734
