x_bin,count,mean,median,p95,x_mid
"[140.52,141.02)",326.0,26.91717791411043,28.0,32.0,140.76781617360746
"[141.02,141.51)",254.0,26.5,27.0,32.0,141.2626063886289
"[141.51,142.00)",237.0,25.88185654008439,26.0,31.0,141.75739660365036
"[142.00,142.50)",209.0,25.45933014354067,26.0,31.0,142.25218681867185
"[142.50,142.99)",189.0,25.804232804232804,27.0,30.0,142.74697703369333
"[142.99,143.49)",188.0,25.48936170212766,26.0,30.0,143.24176724871478
"[143.49,143.98)",156.0,25.25,26.0,31.0,143.73655746373623
"[143.98,144.48)",165.0,25.52121212121212,26.0,31.0,144.23134767875771
"[144.48,144.97)",147.0,25.523809523809526,27.0,30.0,144.7261378937792
"[144.97,145.47)",130.0,25.323076923076922,25.0,30.549999999999997,145.22092810880065
"[145.47,145.96)",125.0,25.304,25.0,30.799999999999997,145.7157183238221
"[145.96,146.46)",128.0,24.7578125,25.0,30.0,146.21050853884358
"[146.46,146.95)",117.0,25.46153846153846,26.0,30.0,146.70529875386507
"[146.95,147.45)",106.0,24.839622641509433,25.0,29.0,147.20008896888652
"[147.45,147.94)",102.0,25.313725490196077,26.0,30.0,147.69487918390797
"[147.94,148.44)",95.0,24.68421052631579,25.0,30.0,148.18966939892945
"[148.44,148.93)",74.0,24.43243243243243,25.0,29.349999999999994,148.68445961395093
"[148.93,149.43)",82.0,24.9390243902439,25.0,29.0,149.1792498289724
"[149.43,149.92)",64.0,24.40625,24.5,29.0,149.67404004399384
"[149.92,150.42)",83.0,24.710843373493976,26.0,29.89999999999999,150.16883025901532
"[150.42,150.91)",74.0,25.445945945945947,26.0,30.0,150.6636204740368
"[150.91,151.41)",61.0,24.229508196721312,24.0,29.0,151.15841068905826
"[151.41,151.90)",63.0,24.761904761904763,25.0,29.0,151.6532009040797
"[151.90,152.40)",59.0,24.508474576271187,25.0,28.099999999999994,152.1479911191012
"[152.40,152.89)",38.0,25.05263157894737,25.0,29.0,152.64278133412267
"[152.89,153.38)",59.0,24.694915254237287,25.0,29.0,153.13757154914413
"[153.38,153.88)",49.0,24.489795918367346,25.0,28.0,153.63236176416558
"[153.88,154.37)",57.0,24.05263157894737,24.0,28.0,154.12715197918706
"[154.37,154.87)",45.0,24.355555555555554,24.0,29.0,154.62194219420854
"[154.87,155.36)",51.0,24.49019607843137,25.0,29.0,155.11673240923
"[155.36,155.86)",42.0,24.333333333333332,25.0,28.0,155.61152262425145
"[155.86,156.35)",39.0,24.512820512820515,25.0,28.0,156.10631283927293
"[156.35,156.85)",22.0,25.181818181818183,27.5,28.0,156.6011030542944
"[156.85,157.34)",29.0,23.82758620689655,24.0,28.0,157.09589326931587
"[157.34,157.84)",19.0,25.789473684210527,26.0,28.0,157.59068348433732
"[157.84,158.33)",27.0,25.074074074074073,25.0,28.0,158.0854736993588
"[158.33,158.83)",29.0,24.96551724137931,26.0,28.0,158.58026391438028
"[158.83,159.32)",28.0,24.178571428571427,25.0,28.0,159.07505412940174
"[159.32,159.82)",22.0,25.318181818181817,24.0,28.0,159.5698443444232
"[159.82,160.31)",15.0,24.266666666666666,24.0,28.0,160.06463455944467
"[160.31,160.81)",18.0,24.0,23.5,28.0,160.55942477446615
"[160.81,161.30)",21.0,23.285714285714285,24.0,28.0,161.0542149894876
"[161.30,161.80)",16.0,24.5625,25.0,28.0,161.54900520450906
"[161.80,162.29)",16.0,23.4375,23.5,26.0,162.04379541953054
"[162.29,162.79)",13.0,24.153846153846153,24.0,26.4,162.53858563455202
"[162.79,163.28)",9.0,23.22222222222222,24.0,26.2,163.03337584957347
"[163.28,163.78)",12.0,22.583333333333332,22.0,25.0,163.52816606459493
"[163.78,164.27)",11.0,24.181818181818183,25.0,27.0,164.0229562796164
"[164.27,164.77)",14.0,23.928571428571427,24.5,27.0,164.5177464946379
"[164.77,165.26)",17.0,23.294117647058822,24.0,27.0,165.01253670965934
"[165.26,165.75)",11.0,24.454545454545453,24.0,27.0,165.5073269246808
"[165.75,166.25)",9.0,24.555555555555557,24.0,26.6,166.00211713970228
"[166.25,166.74)",9.0,24.333333333333332,24.0,26.6,166.49690735472376
"[166.74,167.24)",16.0,24.875,26.0,27.0,166.9916975697452
"[167.24,167.73)",4.0,23.0,22.0,25.4,167.48648778476667
"[167.73,168.23)",5.0,23.0,23.0,24.8,167.98127799978815
"[168.23,168.72)",11.0,22.90909090909091,24.0,25.5,168.47606821480963
"[168.72,169.22)",9.0,21.555555555555557,22.0,25.6,168.97085842983108
"[169.22,169.71)",2.0,22.0,22.0,23.8,169.46564864485254
"[169.71,170.21)",11.0,22.272727272727273,24.0,24.5,169.96043885987402
"[170.21,170.70)",9.0,24.11111111111111,25.0,25.6,170.4552290748955
"[170.70,171.20)",7.0,23.857142857142858,24.0,25.7,170.95001928991695
"[171.20,171.69)",4.0,23.75,23.0,25.549999999999997,171.4448095049384
"[171.69,172.19)",5.0,23.6,23.0,25.8,171.9395997199599
"[172.19,172.68)",6.0,23.5,23.5,25.5,172.43438993498137
"[172.68,173.18)",11.0,21.818181818181817,22.0,26.0,172.92918015000282
"[173.18,173.67)",3.0,22.666666666666668,23.0,23.9,173.42397036502427
"[173.67,174.17)",2.0,23.0,23.0,24.8,173.91876058004576
"[174.17,174.66)",6.0,21.5,23.0,24.75,174.41355079506724
"[174.66,175.16)",2.0,22.0,22.0,23.8,174.9083410100887
"[175.16,175.65)",3.0,22.0,22.0,22.9,175.40313122511014
"[175.65,176.15)",8.0,21.125,21.0,24.0,175.89792144013163
"[176.15,176.64)",3.0,22.0,23.0,23.9,176.3927116551531
"[176.64,177.13)",3.0,23.666666666666668,24.0,24.9,176.88750187017456
"[177.13,177.63)",1.0,23.0,23.0,23.0,177.382292085196
"[177.63,178.12)",5.0,19.4,22.0,23.8,177.8770823002175
"[178.12,178.62)",6.0,22.833333333333332,24.5,25.0,178.37187251523898
"[178.62,179.11)",3.0,24.333333333333332,24.0,24.9,178.86666273026043
"[179.11,179.61)",2.0,23.0,23.0,23.9,179.36145294528188
"[179.61,180.10)",1.0,24.0,24.0,24.0,179.85624316030336
"[180.10,180.60)",,,,,180.35103337532485
"[180.60,181.09)",5.0,20.8,22.0,24.0,180.8458235903463
