x_bin,count,mean,median,std,p95,x_mid
"[23.40,23.64)",586.0,168.8691302831504,172.74802143924904,18.969728928035835,191.73264550204175,23.51878881016645
"[23.64,23.87)",582.0,169.26202810468436,174.54869001259738,18.64827288452112,193.05284306471424,23.75515854695204
"[23.87,24.11)",703.0,170.80252136151242,176.5490567516499,18.383090761307272,195.16576648830946,23.99152828373763
"[24.11,24.35)",790.0,168.61845724860933,170.9846502156334,19.17381083456835,197.2542984115996,24.22789802052322
"[24.35,24.58)",885.0,170.33966962859714,180.06267606278476,20.51644673836917,199.28879105807124,24.464267757308818
"[24.58,24.82)",826.0,166.61155152787904,173.41328798632753,19.364617716122986,192.1159500425054,24.70063749409441
"[24.82,25.06)",1024.0,166.76283458390327,167.5179812447102,20.111499559726024,193.80040531643095,24.93700723088
"[25.06,25.29)",1136.0,167.0246273567347,168.62998476917383,21.248460495776158,195.91416257093988,25.17337696766559
"[25.29,25.53)",1313.0,167.06630871668915,170.17114879168878,22.20031911382302,197.64495214197558,25.409746704451187
"[25.53,25.76)",1397.0,166.0328958188065,163.75627253860424,22.770310829355754,191.64396219050315,25.646116441236778
"[25.76,26.00)",1402.0,166.94090445142515,165.18309629694835,21.606471850424523,193.5505575114244,25.88248617802237
"[26.00,26.24)",1561.0,165.9702282624291,166.17542159897974,23.050597296539138,195.5335416317556,26.11885591480796
"[26.24,26.47)",1722.0,166.92363989631718,160.248203468207,24.067002480677257,197.60053482679376,26.355225651593557
"[26.47,26.71)",1847.0,167.56790837397114,161.85112525655214,24.744456708195308,199.612199719278,26.591595388379147
"[26.71,26.95)",1586.0,156.627385482992,162.46025488710444,20.485876689077347,190.75094919981683,26.827965125164738
"[26.95,27.18)",1717.0,156.8425293379374,163.94795211732082,20.756638398328683,192.54805081421878,27.06433486195033
"[27.18,27.42)",1871.0,158.73694264562502,165.64899596347144,20.91775349625768,194.7152578866187,27.300704598735926
"[27.42,27.66)",2186.0,158.88367437077136,167.20409528737116,22.07335608583919,196.68685954532626,27.537074335521517
"[27.66,27.89)",2174.0,158.92197693982067,160.95324260675466,22.413064651312396,198.3308276209163,27.773444072307107
"[27.89,28.13)",2361.0,156.22841589547602,161.4979119778573,22.01720899629199,190.78472378039447,28.009813809092698
"[28.13,28.36)",2461.0,156.99446659895355,162.74020840504085,21.845918681367888,192.43753301195753,28.246183545878296
"[28.36,28.60)",2668.0,157.1821389616384,156.33317912166103,23.337248165530923,194.49833244948488,28.482553282663886
"[28.60,28.84)",2840.0,156.64357792519098,157.208694906658,23.72238932425751,196.1394663261384,28.718923019449477
"[28.84,29.07)",3076.0,157.07081598018078,158.32568321887604,24.36944320105876,197.82393259851574,28.955292756235067
"[29.07,29.31)",3107.0,154.66827378997985,150.99904027303438,23.85056178162132,190.0485166224507,29.191662493020665
"[29.31,29.55)",3376.0,153.96341622463527,152.15976370789565,24.4619637123765,191.3369247184225,29.428032229806256
"[29.55,29.78)",3492.0,153.94025647706653,145.5354179968512,25.016979615502283,193.11413941112937,29.664401966591846
"[29.78,30.02)",3643.0,153.75097303645455,146.7903575349111,25.369258708508838,186.0508880864079,29.900771703377437
"[30.02,30.26)",3827.0,154.0163461491148,148.10300932511691,26.110969838029817,187.83740752068815,30.137141440163035
"[30.26,30.49)",4082.0,153.4288339485037,149.36826223199975,26.49488099123554,189.49697206667037,30.373511176948625
"[30.49,30.73)",4121.0,151.37827918655813,150.51554939575806,25.62845117953837,190.87572909791953,30.609880913734216
"[30.73,30.96)",4151.0,151.77008448816665,151.88653555020286,26.500433292703462,192.71424854680515,30.846250650519806
"[30.96,31.20)",4432.0,151.40828322089905,153.1495136356715,26.849364497564835,194.47358221879247,31.082620387305404
"[31.20,31.44)",4566.0,152.05661624153643,154.5791506478584,27.86514344726094,196.30020656005473,31.318990124090995
"[31.44,31.67)",4542.0,152.25015382830384,155.82317105901672,28.340964418927417,198.0787477833965,31.555359860876585
"[31.67,31.91)",4613.0,148.89561863919386,157.01221448763695,27.289277018808043,199.2729479374752,31.791729597662176
"[31.91,32.15)",4246.0,143.5535912859334,140.42663778361322,22.875037206823226,179.86565995227824,32.028099334447774
"[32.15,32.38)",4324.0,143.16583952424313,141.39953731359907,23.192973584110785,181.40935566437778,32.264469071233364
"[32.38,32.62)",4563.0,143.4364175271317,142.4040809524755,23.924771315054695,182.95359738634608,32.500838808018955
"[32.62,32.86)",4674.0,142.06985838582068,143.19001185968105,24.768458660519553,184.42586778009834,32.737208544804545
"[32.86,33.09)",4787.0,142.71742656986174,136.1535429828838,25.131603456712636,185.96125976589798,32.97357828159014
"[33.09,33.33)",4812.0,141.84402279237406,136.90525601659454,25.873081240846858,187.2772627563625,33.209948018375734
"[33.33,33.56)",4935.0,140.6222905159058,137.54805570549593,24.849163163831886,178.97259322005746,33.446317755161324
"[33.56,33.80)",4962.0,140.23939707322788,130.35092783065826,25.594445496772284,180.41444791301527,33.682687491946915
"[33.80,34.04)",5138.0,140.3020319772376,131.457745329811,25.874332587570162,181.75905224080495,33.91905722873251
"[34.04,34.27)",5357.0,139.8099072686251,132.4751526390979,26.905007584602387,183.15503359636904,34.1554269655181
"[34.27,34.51)",5258.0,139.2942333367816,133.5577422003695,26.84608566896393,184.42478412704537,34.391796702303694
"[34.51,34.75)",5415.0,139.17513514446523,134.65242381753157,27.231377783651215,176.4820556361836,34.628166439089284
"[34.75,34.98)",5343.0,138.33445281144495,135.73311787359395,27.611356139286897,177.93348617831137,34.86453617587488
"[34.98,35.22)",5176.0,137.37094631159925,136.75581459844935,27.629973574439223,179.44713240792368,35.10090591266047
"[35.22,35.46)",5281.0,136.51250472244683,137.81696074565028,27.83063373668543,180.9368235690494,35.33727564944606
"[35.46,35.69)",5179.0,136.33531805644475,138.94856756010856,27.561198619871494,182.43716934409605,35.573645386231654
"[35.69,35.93)",5119.0,135.8645367156298,140.02307332792637,27.738896287727528,183.92547562167533,35.81001512301725
"[35.93,36.16)",5097.0,135.20645391604066,132.25794460225623,27.9454701963857,185.41356014002153,36.04638485980284
"[36.16,36.40)",4979.0,134.82891241526156,133.19542060941637,27.568585592342856,186.89553092022146,36.28275459658843
"[36.40,36.64)",4826.0,133.69576961780868,134.01219634342687,27.318053676909827,188.28371922288648,36.51912433337402
"[36.64,36.87)",4806.0,132.35551225368008,134.82514884801122,26.930331768850635,189.64141930000864,36.75549407015962
"[36.87,37.11)",4708.0,132.4327094926879,126.96221769184277,26.848580069906852,191.26746659351284,36.99186380694521
"[37.11,37.35)",4709.0,131.52817692043135,127.8948194869541,26.715760729550144,182.00245149566558,37.2282335437308
"[37.35,37.58)",4570.0,130.97127765089033,128.6634834236271,26.755613116023074,182.98140315290416,37.46460328051639
"[37.58,37.82)",4401.0,130.91720234595346,129.50729450296677,26.593582609171772,184.11334366490604,37.70097301730199
"[37.82,38.06)",4362.0,129.78485084913103,121.4520746313974,26.628724980990484,174.9042177385242,37.93734275408758
"[38.06,38.29)",4204.0,129.11749659905524,122.3761883580196,25.890137248424935,175.5020151638568,38.17371249087317
"[38.29,38.53)",4289.0,127.29112924068859,122.92764523554814,25.231686459078567,166.21473013051582,38.41008222765876
"[38.53,38.76)",4083.0,126.31587075076663,123.70711833369909,25.533063266328256,167.24811431074752,38.64645196444436
"[38.76,39.00)",4077.0,126.91555239457492,124.72384018966954,25.761571126609393,168.71395302014565,38.88282170122995
"[39.00,39.24)",3983.0,125.15215411610274,116.70892501749915,25.651076665444577,169.75802843573845,39.11919143801554
"[39.24,39.47)",3846.0,124.35910477790465,117.59465151263362,25.967796852437807,170.82918173159263,39.35556117480113
"[39.47,39.71)",3815.0,123.45021676331253,118.49111054125768,25.77035385088452,161.73614611724983,39.59193091158673
"[39.71,39.95)",3657.0,123.34656311448221,119.39008003233256,26.20853563206028,163.06544019039416,39.82830064837232
"[39.95,40.18)",3533.0,122.39449490099564,120.35990019334498,25.98460368069041,164.2806843961327,40.06467038515791
"[40.18,40.42)",3435.0,121.94158423356275,121.24121372872536,25.817264782304576,165.58192597844038,40.3010401219435
"[40.42,40.66)",3361.0,120.94044720983771,122.18431257720242,25.868722651154254,166.8329618966939,40.5374098587291
"[40.66,40.89)",3244.0,121.64292180640676,123.1348954346717,26.268512619342367,168.35073787024925,40.77377959551469
"[40.89,41.13)",3136.0,120.9072347763684,124.08017545850475,25.5092249661715,169.549852160371,41.01014933230028
"[41.13,41.36)",2934.0,120.65444970174109,125.07625651890987,25.647338825032136,170.63518381802,41.24651906908587
"[41.36,41.60)",2810.0,119.61193303400361,116.69842303529218,25.30686808471812,171.82074177155522,41.48288880587147
"[41.60,41.84)",2792.0,119.55460486807658,117.4078368285467,25.30941104804581,162.1275146183328,41.71925854265706
"[41.84,42.07)",2591.0,119.0314674661438,118.20592702537569,24.783287400942214,163.242216183189,41.95562827944265
"[42.07,42.31)",2594.0,120.06999848199945,119.24871291340102,25.376901552540758,164.66138177465515,42.19199801622824
"[42.31,42.55)",2406.0,117.63020351099287,119.81384065062683,24.49682549365556,165.23965170804792,42.42836775301384
"[42.55,42.78)",2305.0,118.32955182885455,120.79171827262444,25.12633744191769,166.83445608866862,42.66473748979943
"[42.78,43.02)",2252.0,117.43644780186433,112.09069794381924,25.488093246843825,167.94474556834547,42.90110722658502
"[43.02,43.26)",2182.0,116.536044409917,112.85018928791231,24.59105336421615,157.69502944563936,43.13747696337061
"[43.26,43.49)",2006.0,116.17261298165303,113.59417478665569,24.608114417192734,158.8642999209024,43.37384670015621
